MODEL_STANDARD_NAME,CATE_NAME,VERSION
audisport奥迪奥迪rs72014款4.0t5门4座amt5012*1911*1414欧v前置四驱2014款rs74.0tsportback,奥迪rs 7,nan
阿斯顿马丁阿斯顿马丁v12vantage2016款6.0l2门2座amt4382*2022*1256欧iv前置后驱2016款6.0lsroadster,v12 vantage,nan
audisport奥迪奥迪rs52014款4.2l2门4座dct4649*1860*1366国iv(国v)前置四驱2014款rs5coupe特别版,奥迪rs 5,特别
audisport奥迪奥迪rs52012款4.2l2门4座dct4649*1860*1366国iv(国v)前置四驱2012款rs5coupe,奥迪rs 5,nan
阿斯顿马丁阿斯顿马丁v12vantage2009款6.0l2门2座mt4380*2025*1241欧iv前置后驱2009款6.0lmanualcoupe,v12 vantage,nan
acschnitzeracschnitzeracschnitzerx535i2015款3.0t5门5座amt4909*1938*1772欧v前置四驱2015款acs3535i,ac schnitzer x5,nan
菲亚特进口阿尔法罗密欧alfa1562004款2.0l4门5座amt4720*1815*1416欧iii前置前驱2004款2.0at,alfa 156,nan
菲亚特进口阿尔法罗密欧alfagt2004款3.2l2门4座amt4480*1760*1390欧iv前置前驱2004款3.2,alfa gt,nan
阿斯顿马丁阿斯顿马丁v12vantage2012款6.0l2门2座mt4382*2022*1256欧iv前置后驱2012款6.0lroadster,v12 vantage,nan
阿斯顿马丁阿斯顿马丁v12vantage2014款6.0l2门2座amt4385*2022*1250欧iv前置后驱2014款6.0ls,v12 vantage,nan
阿斯顿马丁阿斯顿马丁v12vantage2015款6.0l2门2座amt4385*2022*1250欧iv前置后驱2015款6.0ls,v12 vantage,nan
阿斯顿马丁阿斯顿马丁v12vantage2016款6.0l2门2座amt4385*2022*1250欧iv前置后驱2016款6.0lscoupe,v12 vantage,nan
阿斯顿马丁阿斯顿马丁v12zagato2012款6.0l2门2座mt4385*1865*1250欧iv前置后驱2012款6.0lzagato,v12 zagato,nan
audisport奥迪奥迪rs52013款4.2l2门4座dct4651*1860*1384国iv(国v)前置四驱2013款rs5cabriolet,奥迪rs 5,nan
audisport奥迪奥迪rs62016款4.0t5门5座amt4987*1936*1456国v前置四驱2016款rs64.0tavant,奥迪rs 6,nan
audisport奥迪奥迪rs72016款4.0t5门4座amt5012*1911*1414欧v前置四驱2016款rs74.0tsportback,奥迪rs 7,nan
保时捷保时捷918spyder2014款4.6l2门2座dct4643*1940*1167欧v中置四驱2014款weissachpackage4.6l,918 spyder,nan
梅赛德斯amg奔驰amggt2015款4.0t2门2座dct4546*1939*1288欧vi前置后驱2015款amggts,amg gt,nan
梅赛德斯amg奔驰amggt2016款4.0t2门2座dct4546*1939*1288欧vi前置后驱2016款amggt,amg gt,nan
梅赛德斯amg奔驰amggt2017款4.0t2门2座dct4546*1939*1288欧vi前置后驱2017款amggts限量特别版,amg gt,限量特别
梅赛德斯amg奔驰amggt2018款4.0t2门2座dct4551*1939*1288欧vi前置后驱2018款amggtc中国特别版,amg gt,中国特别
