,MODEL_STANDARD_NAME,CATE_NAME,PREDICT
0,起亚赛莱托cerato1.6,韩国起亚赛莱托,莱托cerato
2,起亚美鹿gtx1.5at,赛菲亚sephia,美鹿gtx
3,美国通用雪弗兰科博特2.2,美国通用雪佛兰科博特,科博特
4,名爵csa7153ac1.5lat(201103),名爵mg 3,名爵
5,斯巴鲁森林人2.5lcvt豪华导航版(201603),森林人forester,森林人
6,进口大众甲壳虫beetle1.6lmt(200111),甲壳虫beetel,甲壳虫
8,进口路虎揽胜rangerover3.0tdatvogue版(201211),揽胜range rover,揽胜rangerover
9,北汽幻速幻速s6bj6470ckv2z1.5tmt智能型(201511),北汽幻速s6,幻速s6
10,东风悦达起亚秀尔yqz7166aej1.6latgl(201111),东风悦达起亚秀尔soul,东风悦达起亚秀尔
11,广汽乘用车传祺gac72002.0at,传祺ga5,传祺ga
12,现代奔马2.0,韩国现代奔马,奔马
13,现代伊兰特2.0mt,韩国现代伊兰特,伊兰特
15,奇瑞奇瑞qq3sqr7083s1100.8lmt两厢梦想版梦想型(201201),奇瑞qq/qq3,奇瑞qq3
16,起亚跑天下2.2mt,韩国起亚跑天下,起亚跑天下
17,起亚克利多斯2.0mt,韩国起亚克拉鲁斯,克利多斯
18,凯雷德6.2at(06),美国通用凯迪拉克凯雷德escalade,凯雷德
19,东风本田思铂睿dhw7182fbms1.8lmt(201110),东风本田思域,东风本田思铂睿
21,东风风神风神ax5zn6451v1l5a1.4tmt趣尚型(201611),东风风神ax5,风神ax5
22,海迅sma71811.8lmt(200603),上海华普海迅,海迅
23,威麟sqr6472b1472.0,威麟v系列,威麟
24,开瑞sqr6440k061.2mt(200909),开瑞优优,开瑞
25,北京奔驰奔驰e级bj7205hxl2.0tat运动豪华型(201703),北京奔驰e级,奔驰e级
26,开瑞优翼sqr6460a181.6lmt标准型(200703),优翼(开瑞),开瑞优翼
30,朗风sma71811.8mt(200511),上海华普海尚,朗风
32,华普海峰sma71521.5mt(200709),上海华普海锋,海峰
33,海域sma71311.3mt(200508),上海华普海域,海域
34,现代索纳塔2.0at(93-98),索纳塔sonata,索纳塔
35,东风悦达起亚锐欧yqz7140e1.4lmt豪华型(200701),东风悦达起亚千里马,东风悦达起亚锐欧
36,德国大众捷达2.5,捷达jetta,德国大众捷达
42,开瑞sqr6462a1871.5mt(200703),开瑞优翼,开瑞
43,北京奔驰奔驰glk级bj6453e2a13.0lat动感天窗版(201210),北京奔驰glk级,奔驰glk级
44,东风悦达起亚起亚k5yqz72032.0lmtgl(201103),东风悦达起亚远舰/k5,东风悦达起亚起亚k5
45,进口捷豹jaguarf-pace级2.0tat两驱都市尊享版(201706),捷豹f-pace级,捷豹jaguarf-pa
46,现代特杰2.0at,特杰trajet,特杰
48,进口奥迪a41.8at(00-05),德国奥迪a4,奥迪a4
50,进口奥迪a52.0at(200804-201202),德国奥迪a5,奥迪a5
51,进口奥迪rs65.0at(200804),德国奥迪rs6,奥迪rs6
52,凯美瑞gtm7200e(200606-201112),广汽丰田凯美瑞,凯美瑞
53,金旅xml6603,金旅6米公路客车,金旅
54,金旅xml6533,海狮,金旅
55,金旅xml6441,金旅轻型客车,金旅
57,汉江sfj6370,汉江微型客车,汉江
58,进口凯迪拉克cadillacsrx3.0lat精英型(201301),美国通用凯迪拉克srx,拉克cadillac
59,一汽奥迪1002.0mt(88-96),一汽奥迪a100,一汽奥迪100
60,凯迪拉克xlr4.6at(04),美国通用凯迪拉克xlr,拉克xlr
63,佛里特伍德fleetwood5.7at(93-96),美国通用凯迪拉克佛里特伍德,特伍德fleetwood
65,一汽奥迪2001.8tmt(96-99),一汽奥迪a200,一汽奥迪200
66,卡玛洛camaro6.2lat(09),美国通用雪弗兰卡玛洛,卡玛洛camaro
67,进口雪佛兰科帕奇captiva2.4lmt舒适型(201006),美国通用雪弗兰科帕奇captiva,科帕奇captiva
68,美国通用雪弗兰科帕奇2.4at,美国通用雪弗兰科帕奇captiva,科帕奇
69,进口别克昂科雷enclave3.6lat旗舰版cxl2(200811),美国通用别克昂科雷,昂科雷ecl
70,菱绅dn64832.4at,东南三菱菱绅,菱绅
71,东南dn6510m(200709),东南克莱斯勒大捷龙,东南
72,凯迪拉克srx4.6(04-08),美国通用凯迪拉克srx,拉克srx
73,进口雪佛兰斯帕可spark1.0latsx(201101),美国通用雪佛兰斯帕可spark,斯帕可spark
75,一汽佳星ca64131.3mt(七座),森雅,一汽佳星
77,起亚佳乐1.8at,佳乐carens,佳乐
78,英伦rx6453k051.8lmt(201303),上海华普英伦sx7,英伦
80,悍马h16.5at(92-06),美国通用悍马h1,悍马h1
81,奇瑞开瑞sqr6400s2271.3lmt(200703),开瑞优雅,开瑞
82,奇瑞开瑞sqr6401s221.2mt(200703),优雅(瑞麒2),开瑞
83,美国通用雪佛兰黑斑羚3.4at,美国通用雪弗兰黑斑羚,黑斑羚
84,凯迪拉克cts3.2at(200203-200804),美国通用凯迪拉克cts,拉克cts
87,进口凯迪拉克cadillacctscoupe3.6lat(201110),美国通用凯迪拉克cts,拉克cadillact
88,进口凯迪拉克cadillaccts-v6.2tat(200811),美国通用凯迪拉克cts,拉克cadillac
91,名爵csa7183a1.8tat(200912),名爵mg 6,名爵
92,东风悦达起亚远舰yqz7180mt(200409-10),东风悦达起亚远舰/k5,东风悦达起亚远舰
96,朗风sma71811.8lmt(200701),上海华普海迅,朗风
97,东南dn64612.0at(200811),东南三菱君阁,东南
99,进口凯迪拉克cadillaccts3.0lat豪华运动版(200912),美国通用凯迪拉克cts,拉克cadillacc
100,长安沃尔沃caf7240a2.4at,长安沃尔沃s40,长安沃尔沃
101,东南v3菱悦dn7151pa1.5lcvt亲民豪华版(201208),东南菱悦,东南v3菱悦
102,美国通用凯迪拉克帝威4.5at,美国通用凯迪拉克戴维里,美国凯帝威
103,美国通用凯迪拉克帝威4.9at,美国通用凯迪拉克戴维里,美国帝威
104,奇瑞奇瑞qqsqr7000eas11纯电动轿车(200305),奇瑞qq3 ev,奇瑞qq
105,奇瑞奇瑞qqsqr7000feb11mt(电动),奇瑞qq/qq3,奇瑞qq
107,美国通用庞蒂克大普里克斯3.8at,美国通用庞蒂克大普里克斯gtp系列,美国通用大普里克斯
108,美国通用庞蒂克大普里克斯gt3.8at,美国通用庞蒂克大普里克斯gt系列,美国通用大普里克斯gt
